net,length_um
_07843_,131.38
_10157_,131.22
_03373_,131.08
_01335_,131.06
_09801_,131.02
_05894_,131.005
_11250_,130.96
_07171_,130.91
_10304_,130.89
_02505_,130.87
_03237_,130.86
_08811_,130.82
_09041_,130.62
_06972_,130.43
_01438_,130.3
_10712_,130.14
_02474_,129.93
_07977_,129.92
_01576_,129.82
_09184_,129.815
_13570_,129.78
_14261_,129.73
_06352_,129.72
_09460_,129.58
_07800_,129.54
_10868_,129.54
_14460_,129.5
_10401_,129.4
_06681_,129.38
_07680_,129.32
_13484_,129.3
_00776_,129.255
_08347_,129.22
_06137_,129.08
_11143_,128.98
_09291_,128.94
_09734_,128.94
_07859_,128.82
_14263_,128.69
_07950_,128.68
_02479_,128.62
_07153_,128.58
_14271_,128.57
_01883_,128.52
_04496_,128.34
_07519_,128.3
_08758_,128.02
_04564_,128
_14465_,127.845
_07625_,127.68
_00541_,127.6
_09280_,127.56
_01839_,127.34
_05931_,127.22
_01884_,127.04
_01376_,127
_07705_,127
_00589_,126.98
_11460_,126.97
_10522_,126.96
_05825_,126.88
_01535_,126.86
_03761_,126.66
_02486_,126.535
_09334_,126.52
_04435_,126.46
_08249_,126.37
_10602_,126.36
_03550_,126.29
_12895_,126.24
_01426_,126.2
_09027_,125.78
_14343_,125.72
_05350_,125.62
_01242_,125.58
_03419_,125.56
_07541_,125.31
_01881_,125.28
_05131_,125.18
_06335_,125.14
_02071_,125.045
_14298_,124.96
_07383_,124.94
_07773_,124.78
_03442_,124.775
_08937_,124.7
_02278_,124.69
_01268_,124.68
_01547_,124.64
_08426_,124.62
_07336_,124.42
_07188_,124.4
_07887_,124.38
_03884_,124.33
_11281_,124.3
_13641_,124.255
_02512_,124.24
_05042_,124.24
_10867_,124.22
_07739_,124.2
_07093_,124
_04949_,123.84
_02377_,123.74
_03231_,123.66
_01167_,123.61
_08042_,123.52
_01575_,123.5
_01392_,123.42
_09361_,123.38
_05383_,123.36
_09293_,123.36
_03436_,123.34
_06977_,123.305
_02111_,123.26
_09676_,123.19
_12821_,123.06
_12353_,122.96
_11136_,122.95
_11564_,122.92
_11776_,122.91
_01741_,122.9
_01358_,122.88
_06125_,122.86
_07774_,122.81
_08274_,122.76
_08744_,122.66
_10327_,122.62
_13481_,122.62
_09831_,122.595
_00564_,122.54
_11222_,122.48
_00746_,122.47
_07679_,122.42
_06530_,122.34
_09147_,122.33
_12639_,122.33
_11265_,122.24
_09285_,122.03
_02262_,121.98
_07308_,121.94
_13354_,121.92
_01297_,121.9
_02004_,121.86
_06578_,121.8
_07204_,121.8
_09943_,121.74
_04037_,121.68
_06978_,121.68
_07995_,121.66
_09296_,121.62
_09562_,121.46
_04173_,121.44
_07285_,121.42
_04833_,121.32
_06470_,121.3
_14393_,121.26
_12885_,121.22
_05018_,121.09
_10302_,121.075
_03444_,121.04
_10213_,121.04
_07319_,120.79
_06859_,120.74
_09470_,120.74
_09573_,120.72
_05802_,120.66
_10043_,120.66
_01097_,120.48
_00677_,120.46
_10988_,120.41
_04725_,120.4
_07226_,120.32
_04834_,120.27
_13202_,120.06
